"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2023","1,547.92","1,585.54","1,593.22","1,541.26","153.51M","-2.37%"
"01/12/2022","1,585.54","1,618.68","1,646.35","1,560.72","3.49B","-2.05%"
"01/11/2022","1,618.68","1,546.64","1,618.69","1,498.98","3.97B","4.66%"
"01/10/2022","1,546.64","1,411.36","1,552.65","1,398.81","3.79B","9.59%"
"01/09/2022","1,411.36","1,451.16","1,535.32","1,408.17","3.59B","-2.74%"
"01/08/2022","1,451.16","1,541.88","1,565.76","1,451.15","3.39B","-5.88%"
"01/07/2022","1,541.88","1,494.31","1,558.41","1,459.55","3.07B","3.18%"
"01/06/2022","1,494.31","1,537.92","1,543.84","1,379.59","3.89B","-2.84%"
"01/05/2022","1,537.92","1,518.45","1,559.34","1,459.12","4.30B","1.28%"
"01/04/2022","1,518.45","1,594.81","1,672.39","1,515.99","3.83B","-4.79%"
"01/03/2022","1,594.81","1,512.63","1,619.59","1,483.77","4.75B","5.39%"
"01/02/2022","1,513.20","1,530.88","1,566.82","1,447.04","4.13B","-1.13%"
"01/01/2022","1,530.46","1,641.69","1,641.69","1,456.58","4.51B","-6.90%"
"01/12/2021","1,643.92","1,509.15","1,656.89","1,500.28","4.82B","8.84%"
"01/11/2021","1,510.45","1,559.58","1,577.07","1,507.63","4.58B","-3.13%"
"01/10/2021","1,559.32","1,481.17","1,560.92","1,452.11","3.63B","5.08%"
"01/09/2021","1,483.99","1,573.93","1,594.93","1,483.74","3.74B","-5.70%"
"01/08/2021","1,573.61","1,541.01","1,594.07","1,534.53","4.10B","2.28%"
"01/07/2021","1,538.58","1,469.24","1,544.82","1,469.24","3.37B","4.74%"
"01/06/2021","1,468.94","1,438.33","1,474.37","1,403.68","3.91B","2.19%"
"01/05/2021","1,437.44","1,414.36","1,462.53","1,414.36","3.53B","1.74%"
"01/04/2021","1,412.92","1,362.87","1,444.21","1,352.81","3.44B","3.87%"
"01/03/2021","1,360.34","1,315.30","1,375.81","1,279.42","4.33B","3.74%"
"01/02/2021","1,311.27","1,343.56","1,368.59","1,307.67","3.75B","-2.21%"
"01/01/2021","1,340.92","1,324.57","1,386.94","1,296.42","3.79B","1.28%"
"01/12/2020","1,324.01","1,283.54","1,325.21","1,276.94","4.34B","3.74%"
"01/11/2020","1,276.31","1,196.54","1,329.58","1,193.19","4.63B","7.77%"
"01/10/2020","1,184.32","1,235.33","1,276.94","1,168.75","3.52B","-3.79%"
"01/09/2020","1,231.02","1,258.94","1,276.28","1,175.51","3.56B","-2.29%"
"01/08/2020","1,259.88","1,234.02","1,265.10","1,224.28","3.10B","2.55%"
"01/07/2020","1,228.58","1,172.84","1,252.38","1,162.44","3.68B","5.20%"
"01/06/2020","1,167.80","1,189.26","1,211.56","1,109.00","4.66B","-2.53%"
"01/05/2020","1,198.14","1,152.53","1,199.83","1,128.83","4.10B","3.11%"
"01/04/2020","1,162.03","1,002.69","1,189.93","978.90","4.96B","12.50%"
"01/03/2020","1,032.90","1,079.05","1,163.99","858.00","7.75B","-3.98%"
"01/02/2020","1,075.66","1,161.11","1,219.87","1,046.39","4.21B","-6.79%"
"01/01/2020","1,153.96","1,190.89","1,223.74","1,150.37","3.70B","-2.88%"
"01/12/2019","1,188.20","1,149.91","1,195.85","1,132.39","3.57B","3.44%"
"01/11/2019","1,148.69","1,099.07","1,154.65","1,083.83","3.88B","4.85%"
"01/10/2019","1,095.58","1,045.50","1,097.43","1,009.42","3.77B","5.00%"
"01/09/2019","1,043.37","1,041.90","1,070.37","1,027.66","3.38B","-0.32%"
"01/08/2019","1,046.74","1,054.70","1,066.17","1,019.54","3.99B","-0.69%"
"01/07/2019","1,054.04","1,079.47","1,093.06","1,048.16","4.01B","-1.72%"
"01/06/2019","1,072.47","1,008.61","1,087.69","1,008.13","2.18B","6.50%"
"01/05/2019","1,007.00","1,032.80","1,050.69","1,001.67","","-2.55%"
"01/04/2019","1,033.35","1,066.35","1,070.64","979.42","","-2.74%"
