"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2023","1,150.81","1,010.71","1,159.39","987.46","647.45M","14.45%"
"01/12/2022","1,005.48","1,139.78","1,140.89","981.17","9.67B","-11.31%"
"01/11/2022","1,133.65","1,144.33","1,146.40","1,023.30","9.74B","0.81%"
"01/10/2022","1,124.52","1,121.29","1,176.83","1,051.35","9.91B","0.20%"
"01/09/2022","1,122.31","1,212.60","1,311.72","1,119.27","9.16B","-8.09%"
"01/08/2022","1,221.06","1,282.10","1,375.13","1,220.90","7.83B","-4.72%"
"01/07/2022","1,281.51","1,080.80","1,286.96","1,075.24","7.61B","18.90%"
"01/06/2022","1,077.78","1,218.13","1,236.84","1,039.99","8.73B","-10.90%"
"01/05/2022","1,209.68","1,271.10","1,323.51","1,062.09","8.12B","-4.91%"
"01/04/2022","1,272.15","1,469.63","1,500.06","1,268.59","5.99B","-13.03%"
"01/03/2022","1,462.69","1,393.82","1,520.73","1,273.13","8.17B","4.82%"
"01/02/2022","1,395.46","1,457.65","1,502.06","1,273.22","7.06B","-4.06%"
"01/01/2022","1,454.45","1,639.59","1,666.03","1,348.94","8.52B","-9.70%"
"01/12/2021","1,610.76","1,633.32","1,647.03","1,504.38","7.71B","-0.31%"
"01/11/2021","1,615.83","1,595.40","1,699.45","1,585.90","7.95B","1.90%"
"01/10/2021","1,585.72","1,433.59","1,591.85","1,416.31","6.29B","10.91%"
"01/09/2021","1,429.69","1,473.03","1,484.24","1,416.19","6.36B","-2.62%"
"01/08/2021","1,468.09","1,449.55","1,468.53","1,391.84","6.10B","2.04%"
"01/07/2021","1,438.71","1,433.94","1,488.63","1,403.26","5.93B","0.48%"
"01/06/2021","1,431.82","1,388.67","1,438.87","1,353.87","6.96B","3.75%"
"01/05/2021","1,380.08","1,441.62","1,443.96","1,327.73","6.96B","-3.89%"
"01/04/2021","1,435.89","1,352.31","1,443.38","1,348.49","6.23B","7.08%"
"01/03/2021","1,340.91","1,307.53","1,359.07","1,201.65","8.69B","3.59%"
"01/02/2021","1,294.47","1,320.69","1,395.85","1,275.36","6.75B","-1.01%"
"01/01/2021","1,307.64","1,309.64","1,383.73","1,272.76","7.37B","0.39%"
"01/12/2020","1,302.56","1,280.77","1,306.15","1,249.46","6.53B","2.45%"
"01/11/2020","1,271.42","1,183.62","1,284.75","1,160.68","7.65B","8.48%"
"01/10/2020","1,172.03","1,222.32","1,296.42","1,163.10","6.50B","-2.95%"
"01/09/2020","1,207.69","1,257.74","1,285.12","1,133.04","7.16B","-3.69%"
"01/08/2020","1,253.91","1,150.06","1,262.01","1,137.73","6.98B","9.43%"
"01/07/2020","1,145.81","1,051.54","1,160.30","1,051.52","8.26B","8.98%"
"01/06/2020","1,051.42","1,003.80","1,072.78","991.38","12.31B","4.90%"
"01/05/2020","1,002.29","920.55","1,012.32","896.23","10.69B","4.86%"
"01/04/2020","955.81","767.60","957.48","744.26","11.85B","20.51%"
"01/03/2020","793.11","920.95","963.69","663.43","13.96B","-13.39%"
"01/02/2020","915.77","997.10","1,052.19","889.83","6.33B","-7.69%"
